statement,occurences,proposed label
 premature ventricular contraction ( s ) sinus rhythm incomplete right bundle branch block no definite pathology ,1,['incomplete_right_bundle_branch_block']
 premature ventricular contraction ( s ) bigeminy sinus rhythm left bundle branch block this is most commonly due to ischaemic heart disease ,1,['left_bundle_branch_block']
 sinus rhythm abnormal left axis deviation prolonged qt ,1,['long_qt']
 sinus rhythm non - specific t wave flattening in v3 xxxx prolonged qt this may be due to a drug effect or an electrolyte disturbance ,1,['long_qt']
 sinus rhythm left axis deviation left anterior fascicular block q wave in v2 - xxxx st segments are elevated in v3 xxxx t wave are inverted in avl v2 - xxxx and flat in i consistent with anterior myocardial infarct probably old ,1,['left_anterior_fascicular_block']
 premature atrial contraction ( s ) sinus rhythm prolonged pr interval left axis deviation right bundle branch block q wave in ii iii avf consistent with old inferior myocardial infarct ,1,['right_bundle_branch_block']
 sinus tachycardia left axis deviation left bundle branch block this is most commonly due to ischaemic heart disease ,3,['left_bundle_branch_block']
 premature ventricular contraction ( s ) atrial fibrillation left axis deviation left bundle branch block this is most commonly due to ischaemic heart disease ,2,['left_bundle_branch_block']
 sinus bradycardia with sinus arrhythmia the cause of the bradycardia is not evident voltages are high in chest leads suggesting lvh st segments are depressed in i ii avl v4 xxxx this may be due to lv strain or ischaemia prolonged qt this may be du ,1,['long_qt']
 sinus rhythm left axis deviation left anterior fascicular block ,47,['left_anterior_fascicular_block']
 sinus rhythm left axis deviation left bundle branch block this is most commonly due to ischaemic heart disease ,19,['left_bundle_branch_block']
 premature ventricular contraction ( s ) sinus rhythm right bundle branch block ,3,['right_bundle_branch_block']
 sinus rhythm incomplete right bundle branch block this is probably a normal variant high v lead voltages are probably normal for age ,1,['incomplete_right_bundle_branch_block']
 sinus rhythm right bundle branch block q wave in chest leads consistent with old anterior myocardial infarct possible old inferior myocardial infarct edit asmi xxxx crbbb infarkt sicher ( asmi xxxx crbbb ) ,1,['right_bundle_branch_block']
 premature atrial contraction ( s ) sinus arrhythmia voltages are high in chest leads suggesting lvh st segments are depressed in ii iii avf v4 xxxx this may be due to lv strain or ischaemia prolonged qt this may be due to a drug effect or an elect ,1,['long_qt']
 atrial fibrillation with rapid ventricular response low limb lead voltage minor non - specific st and t wave change prolonged qt this may be due to a drug effect or an electrolyte disturbance coarse fibrillation wave accord with mitral valve disease ,1,['long_qt']
 sinus rhythm left axis deviation left anterior fascicular block otherwise no definite pathology lead v5 shows artifact ,1,['left_anterior_fascicular_block']
 sinus rhythm left bundle branch block this is most commonly due to ischaemic heart disease ,31,['left_bundle_branch_block']
 sinus rhythm incomplete right bundle branch block this is probably a normal variant t wave are low in ii and inverted in iii avf this may be normal but inferior myocardial ischaemia cannot be entirely excluded suggest repeat if clinically indica ,1,['incomplete_right_bundle_branch_block']
 sinus rhythm r - s transition zone in v leads displaced to the right incomplete right bundle branch block otherwise normal ecg ,1,['incomplete_right_bundle_branch_block']
 sinus rhythm left axis deviation left anterior fascicular block right bundle branch block bifascicular block pr interval is normal ,57,"['right_bundle_branch_block', 'left_anterior_fascicular_block', 'bifascicular_block']"
 atrial fibrillation with rapid ventricular response right superior axis deviation left anterior fascicular block right bundle branch block bifascicular block ,3,"['right_bundle_branch_block', 'left_anterior_fascicular_block', 'bifascicular_block']"
 sinus rhythm incomplete right bundle branch block t wave are inverted in v4 xxxx and low or flat in i avl findings may be due to lateral myocardial ischaemia or subendocardial infarct of uncertain age ,1,['incomplete_right_bundle_branch_block']
 sinus arrhythmia incomplete right bundle branch block this is probably a normal variant otherwise normal ecg ,4,['incomplete_right_bundle_branch_block']
