statement,occurences,proposed label
 sinusrhythmus periphere niederspannung ,16,
 sinusbradykardie sonst normales ecg ,13,
 sinusrhythmus normales ecg ,687,
 sinusrhythmus linkstyp t abnormal wahrscheinlich inferiorer myokardschaden qt - verlängerung ,1,
 sinusrhythmus linkstyp qrs ( t ) abnormal inferiorer infarkt alter unbest ,5,
 sinus arrhythmie sonst normales ecg ,65,
 vorhof hf xxxx tachykardes vorhofflimmern ueberdrehter linkstyp qrs ( t ) abnormal inferiorer infarkt alter unbest ,1,
 vorhofflattern xxxx überleitung jetzt nach isoptin 2amp+ xxxx amp digitalis teilweise xxxx vorhof ca hf xxxx linkstyp st - senkung ii iii avf v4 - v6 bei tachycardie ,1,
 sinusrhythmus p - verbreiterung ,3,
 supraventrikuläre ersatzsystole ( n ) interponierte supraventrikuläre extrasystole ( n ) supraventrikuläre tachykardie linkstyp rechtsschenkelblock qrs ( t ) abnormal inferiorer infarkt alter unbest ,1,
 sinusrhythmus linkstyp unspezifisches abnormales t ,26,
 xxxx überleitung bei vorhofflattern jetzt unter 3x1 cordichin + 1x1 novodigal xxxx etwas langsamer hf von xxxx auf xxxx sonst unverändert ,1,
 sinusrhythmus verdacht auf p - sinistrocardiale linkstyp unspezifisches abnormales t qt - verlängerung zweiter tag 3x2 cordichin erfolgreiche cardioversion von vorhofflattern ( novodigal xxxx 1x1 ) ,1,
 sinusrhythmus linkstyp sonst normales ecg ,252,
 sinusrhythmus verdacht auf p - sinistrocardiale linkstyp unspezifisches abnormales t qt - verlängerung sr unter 3x1 cordichin stabil novodigal xxxx 1x1 ass xxxx 1x1 tromcardin 1x2 neu xxxx tensobon xxxx für rr ,1,
 sinusrhythmus unspezifischer intraventrikulärer block linkshypertrophie ,1,
 sinusrhythmus rechtstyp linksposteriorer fascicular block ,3,
 erneut vorhofflattern unter 3x1 cordichin 1x0 xxxx novod und neu 1x1 - xxxx tensobon xxxx mg ( danach anamnestisch kurzer schweiáausbruch langsamer puls - seither wider hoher puls um 125! dh umgesprungen q ,1,
