statement,occurences,proposed label
 pacemaker ecg ,20,['pacemaker_rhythm']
 sinus rhythm xxxx - min with complete av block and ventricular escape rate of xxxx - min incomplete right bundle branch block in view of syncope permanent pacing should be considered ,1,['pacemaker_rhythm']
 atrial fibrillation with slow regular ventricular response qrs shows incomplete right bundle branch block and may reflect a junctional escape rhythm diffuse st and t abnormality consider ischaemia digoxin toxicity and the possibility that complete av bl ,1,['junctional_rhythm']
 pacemaker spikes noted a regular paced rhythm is present apparently normal pacemaker function abnormal nature of complex obscures further interpretation ,22,['pacemaker_rhythm']
 pacemaker spikes noted a paced rhythm is present together with sinus complex and atrial premature complex these normal complex show st segment depression and t wave inversion in inferolateral leads findings are likely to be due to ischaemic heart disea ,1,['pacemaker_rhythm']
 probable sinus rhythm with prolonged pr interval but p wave are very inconspicuous and junctional rhythm is not excluded left bundle branch block this is most commonly due to ischaemic heart disease in the presence of lbbb ischaemia or infarct ,1,['junctional_rhythm']
 premature ventricular contraction ( s ) probable sinus rhythm but p wave are inconspicuous junctional rhythm is not excluded left anterior fascicular block right bundle branch block bifascicular block q wave in v2 xxxx consistent with old anterior ,1,['junctional_rhythm']
 pacemaker spikes noted a regular paced rhythm is present apparently normal pacemaker function ,1,['pacemaker_rhythm']
 normal ventricular demand pacing xxxx - min some sinus complex are conducted with prolonged pr interval and left bundle branch block ,1,['pacemaker_rhythm']
 junctional tachycardia with occasional sinus complex atrial premature contractions otherwise normal ecg ,1,['junctional_rhythm']
 normal demand ventricular pacing underlying atrial rhythm is atrial fibrillation several wide complex non paced complex seen with left bundle branch block configuration these are probably multiform ventricular salvos of two but cannot exclude conduction ,1,['pacemaker_rhythm']
 sinus rhythm and junctional rhythm non - specific t wave flattening in i avl v5 xxxx slightly prolonged qt this may be due to a drug effect or an electrolyte disturbance ,1,['junctional_rhythm']
 xxxx av block is present t wave are flat in i and inverted in avl this may be due to myocardial ischaemia patient should be considered for a pacemaker ,1,['pacemaker_rhythm']
