endpoint_family,trial_grounding,clinical_intent,endpoint_name,target_key,metric_field,unit,model_id,empirical_value
1. Rhythm Surveillance & Atrial Arrhythmia Recurrence,"DECAF (JAMA 2025), SHORT-AF (JACC EP 2023)",Detection of AF/AFL/AT recurrence (>=30s) & atrial electrical remodeling,Arrhythmia Discrimination (AF/AFL/VT/SVT),ECGFounder_Category_Arrhythmia,auroc,AUROC,conv15e_A0_wave_noSSL_gated_add_s42_l0,0.9731660598604309
1. Rhythm Surveillance & Atrial Arrhythmia Recurrence,"DECAF (JAMA 2025), SHORT-AF (JACC EP 2023)",Detection of AF/AFL/AT recurrence (>=30s) & atrial electrical remodeling,Arrhythmia Discrimination (AF/AFL/VT/SVT),ECGFounder_Category_Arrhythmia,auroc,AUROC,conv15e_A0_zscore_s42_l0,0.9690670299777692
1. Rhythm Surveillance & Atrial Arrhythmia Recurrence,"DECAF (JAMA 2025), SHORT-AF (JACC EP 2023)",Detection of AF/AFL/AT recurrence (>=30s) & atrial electrical remodeling,Arrhythmia Discrimination (AF/AFL/VT/SVT),ECGFounder_Category_Arrhythmia,auroc,AUROC,conv15e_C1_E1_morlet_mag_morlet_phase_s42_l0,0.9649966811783095
1. Rhythm Surveillance & Atrial Arrhythmia Recurrence,"DECAF (JAMA 2025), SHORT-AF (JACC EP 2023)",Detection of AF/AFL/AT recurrence (>=30s) & atrial electrical remodeling,Arrhythmia Discrimination (AF/AFL/VT/SVT),ECGFounder_Category_Arrhythmia,auroc,AUROC,conv15e_R5_morlet_mag_ueg_phase_wyatt_s42_l0,0.9728209958918957
1. Rhythm Surveillance & Atrial Arrhythmia Recurrence,"DECAF (JAMA 2025), SHORT-AF (JACC EP 2023)",Detection of AF/AFL/AT recurrence (>=30s) & atrial electrical remodeling,Arrhythmia Discrimination (AF/AFL/VT/SVT),ECGFounder_Category_Arrhythmia,auroc,AUROC,conv15e_R7_morlet_mag_ueg_real_s42_l0,0.9718968702436154
1. Rhythm Surveillance & Atrial Arrhythmia Recurrence,"DECAF (JAMA 2025), SHORT-AF (JACC EP 2023)",Detection of AF/AFL/AT recurrence (>=30s) & atrial electrical remodeling,Arrhythmia Discrimination (AF/AFL/VT/SVT),ECGFounder_Category_Arrhythmia,auroc,AUROC,conv15e_del_wave_ce_s42_l0,0.972733890031274
1. Rhythm Surveillance & Atrial Arrhythmia Recurrence,"DECAF (JAMA 2025), SHORT-AF (JACC EP 2023)",Detection of AF/AFL/AT recurrence (>=30s) & atrial electrical remodeling,Arrhythmia Discrimination (AF/AFL/VT/SVT),ECGFounder_Category_Arrhythmia,auroc,AUROC,conv15e_ssl_log_magnitude_phase_sin_local_gated_add_s42_l0,0.9736392298964849
1. Rhythm Surveillance & Atrial Arrhythmia Recurrence,"DECAF (JAMA 2025), SHORT-AF (JACC EP 2023)",Detection of AF/AFL/AT recurrence (>=30s) & atrial electrical remodeling,Arrhythmia Discrimination (AF/AFL/VT/SVT),ECGFounder_Category_Arrhythmia,auroc,AUROC,conv15e_ssl_log_magnitude_real_both_gated_add_s42_l0,0.9728394262107517
1. Rhythm Surveillance & Atrial Arrhythmia Recurrence,"DECAF (JAMA 2025), SHORT-AF (JACC EP 2023)",Detection of AF/AFL/AT recurrence (>=30s) & atrial electrical remodeling,Arrhythmia Discrimination (AF/AFL/VT/SVT),ECGFounder_Category_Arrhythmia,auroc,AUROC,D1_theta_mul_currentloss_s42_l0,0.9482586939783535
1. Rhythm Surveillance & Atrial Arrhythmia Recurrence,"DECAF (JAMA 2025), SHORT-AF (JACC EP 2023)",Detection of AF/AFL/AT recurrence (>=30s) & atrial electrical remodeling,Arrhythmia Discrimination (AF/AFL/VT/SVT),ECGFounder_Category_Arrhythmia,auroc,AUROC,D2_current_id_l1_s42_l0,0.9630748596804404
1. Rhythm Surveillance & Atrial Arrhythmia Recurrence,"DECAF (JAMA 2025), SHORT-AF (JACC EP 2023)",Detection of AF/AFL/AT recurrence (>=30s) & atrial electrical remodeling,Arrhythmia Discrimination (AF/AFL/VT/SVT),ECGFounder_Category_Arrhythmia,auroc,AUROC,D3_theta_mul_l1_s42_l0,0.9492391571403943
1. Rhythm Surveillance & Atrial Arrhythmia Recurrence,"DECAF (JAMA 2025), SHORT-AF (JACC EP 2023)",Detection of AF/AFL/AT recurrence (>=30s) & atrial electrical remodeling,Arrhythmia Discrimination (AF/AFL/VT/SVT),ECGFounder_Category_Arrhythmia,auroc,AUROC,D4_learned12_mul_l1_s42_l0,0.9594052875262955
1. Rhythm Surveillance & Atrial Arrhythmia Recurrence,"DECAF (JAMA 2025), SHORT-AF (JACC EP 2023)",Detection of AF/AFL/AT recurrence (>=30s) & atrial electrical remodeling,Arrhythmia Discrimination (AF/AFL/VT/SVT),ECGFounder_Category_Arrhythmia,auroc,AUROC,D5_permuted_theta_mul_l1_s42_l0,0.9594175041400298
1. Rhythm Surveillance & Atrial Arrhythmia Recurrence,"DECAF (JAMA 2025), SHORT-AF (JACC EP 2023)",Detection of AF/AFL/AT recurrence (>=30s) & atrial electrical remodeling,Arrhythmia Discrimination (AF/AFL/VT/SVT),ECGFounder_Category_Arrhythmia,auroc,AUROC,D6_theta_add_l1_s42_l0,0.9614846260855998
1. Rhythm Surveillance & Atrial Arrhythmia Recurrence,"DECAF (JAMA 2025), SHORT-AF (JACC EP 2023)",Detection of AF/AFL/AT recurrence (>=30s) & atrial electrical remodeling,Arrhythmia Discrimination (AF/AFL/VT/SVT),ECGFounder_Category_Arrhythmia,auroc,AUROC,D7_learned12_add_l1_s42_l0,0.9622059017926633
1. Rhythm Surveillance & Atrial Arrhythmia Recurrence,"DECAF (JAMA 2025), SHORT-AF (JACC EP 2023)",Detection of AF/AFL/AT recurrence (>=30s) & atrial electrical remodeling,Arrhythmia Discrimination (AF/AFL/VT/SVT),ECGFounder_Category_Arrhythmia,auroc,AUROC,D8_random12_mul_l1_s42_l0,0.949792691417792
1. Rhythm Surveillance & Atrial Arrhythmia Recurrence,"DECAF (JAMA 2025), SHORT-AF (JACC EP 2023)",Detection of AF/AFL/AT recurrence (>=30s) & atrial electrical remodeling,Arrhythmia Discrimination (AF/AFL/VT/SVT),ECGFounder_Category_Arrhythmia,auroc,AUROC,factorial_ecg_aim_1100013_s42,0.9629126587723128
1. Rhythm Surveillance & Atrial Arrhythmia Recurrence,"DECAF (JAMA 2025), SHORT-AF (JACC EP 2023)",Detection of AF/AFL/AT recurrence (>=30s) & atrial electrical remodeling,Arrhythmia Discrimination (AF/AFL/VT/SVT),ECGFounder_Category_Arrhythmia,auroc,AUROC,factorial_ecg_aim_1100110_s42,0.9589918679057221
1. Rhythm Surveillance & Atrial Arrhythmia Recurrence,"DECAF (JAMA 2025), SHORT-AF (JACC EP 2023)",Detection of AF/AFL/AT recurrence (>=30s) & atrial electrical remodeling,Arrhythmia Discrimination (AF/AFL/VT/SVT),ECGFounder_Category_Arrhythmia,auroc,AUROC,factorial_ecg_aim_1100111_s42,0.9583155142093087
1. Rhythm Surveillance & Atrial Arrhythmia Recurrence,"DECAF (JAMA 2025), SHORT-AF (JACC EP 2023)",Detection of AF/AFL/AT recurrence (>=30s) & atrial electrical remodeling,Arrhythmia Discrimination (AF/AFL/VT/SVT),ECGFounder_Category_Arrhythmia,auroc,AUROC,factorial_ecg_aim_1101113_s42,0.9683870699444714
1. Rhythm Surveillance & Atrial Arrhythmia Recurrence,"DECAF (JAMA 2025), SHORT-AF (JACC EP 2023)",Detection of AF/AFL/AT recurrence (>=30s) & atrial electrical remodeling,Arrhythmia Discrimination (AF/AFL/VT/SVT),ECGFounder_Category_Arrhythmia,auroc,AUROC,spatial_1lead_a0_1110000_s42_l0,0.9652465576975047
1. Rhythm Surveillance & Atrial Arrhythmia Recurrence,"DECAF (JAMA 2025), SHORT-AF (JACC EP 2023)",Detection of AF/AFL/AT recurrence (>=30s) & atrial electrical remodeling,Arrhythmia Discrimination (AF/AFL/VT/SVT),ECGFounder_Category_Arrhythmia,auroc,AUROC,spatial_1lead_e1_panorama_film_1110000_s42_l0,0.961932475126943
1. Rhythm Surveillance & Atrial Arrhythmia Recurrence,"DECAF (JAMA 2025), SHORT-AF (JACC EP 2023)",Detection of AF/AFL/AT recurrence (>=30s) & atrial electrical remodeling,Arrhythmia Discrimination (AF/AFL/VT/SVT),ECGFounder_Category_Arrhythmia,auroc,AUROC,spatial_1lead_pa1_panorama_author_1110000_s42_l0,0.9630740452702709
1. Rhythm Surveillance & Atrial Arrhythmia Recurrence,"DECAF (JAMA 2025), SHORT-AF (JACC EP 2023)",Detection of AF/AFL/AT recurrence (>=30s) & atrial electrical remodeling,Arrhythmia Discrimination (AF/AFL/VT/SVT),ECGFounder_Category_Arrhythmia,auroc,AUROC,spatial_1lead_b1_panorama_1110000_s42_l0,0.9625876576581657
1. Rhythm Surveillance & Atrial Arrhythmia Recurrence,"DECAF (JAMA 2025), SHORT-AF (JACC EP 2023)",Detection of AF/AFL/AT recurrence (>=30s) & atrial electrical remodeling,Arrhythmia Discrimination (AF/AFL/VT/SVT),ECGFounder_Category_Arrhythmia,auroc,AUROC,spatial_1lead_cm1_capacity_matched_1110000_s42_l0,0.9640663771554813
1. Rhythm Surveillance & Atrial Arrhythmia Recurrence,"DECAF (JAMA 2025), SHORT-AF (JACC EP 2023)",Detection of AF/AFL/AT recurrence (>=30s) & atrial electrical remodeling,Arrhythmia Discrimination (AF/AFL/VT/SVT),ECGFounder_Category_Arrhythmia,auroc,AUROC,spatial_1lead_pg1_permuted_geometry_1110000_s42_l0,0.9638838698683984
1. Rhythm Surveillance & Atrial Arrhythmia Recurrence,"DECAF (JAMA 2025), SHORT-AF (JACC EP 2023)",Detection of AF/AFL/AT recurrence (>=30s) & atrial electrical remodeling,Arrhythmia Discrimination (AF/AFL/VT/SVT),ECGFounder_Category_Arrhythmia,auroc,AUROC,spatial_1lead_t000_exact_theta_1110000_s42_l0,0.9639880829861434
