statement,occurences,proposed label
 sinusrhythmus lagetyp normal ecg normal ,9,['normal_ecg']
 sinus rhythm normal ecg ,1818,['normal_ecg']
 sinus arrhythmia normal ecg ,52,['normal_ecg']
 sinus rhythm normal ecg edit norm xxxx ( norm xxxx ) ,46,['normal_ecg']
 sinus rhythm normal ecg edit norm xxxx schlechte qualität v2 v3 v5 ,1,['normal_ecg']
 sinus rhythm normal ecg there is no ecg evidence to suggest pericarditis moreover acute pericarditis would be unlikely in the absence of tachycardia ,1,['normal_ecg']
 sinus rhythm normal ecg edit norm xxxx rsiii ( norm xxxx ) ,3,['normal_ecg']
 sinus rhythm normal ecg edit norm xxxx rsiii avf ( norm xxxx ) ,1,['normal_ecg']
 sinus rhythm normal ecg edit norm xxxx diffuse t - wellenveränderungen ( flach hebungen ) ,1,['normal_ecg']
 sinus rhythm normal ecg edit norm xxxx rqsiii ( norm xxxx ) ,1,['normal_ecg']
 sinus tachycardia normal ecg ,4,['normal_ecg']
 sinus rhythm normal ecg edit norm xxxx rsriii ( norm xxxx ) ,3,['normal_ecg']
 sinus rhythm low limb lead voltage normal ecg ,6,['normal_ecg']
 sinus rhythm borderline left axis deviation normal ecg ,6,['normal_ecg']
 sinus rhythm normal ecg for age ,3,['normal_ecg']
 sinus rhythm normal ecg edit norm xxxx erhöhte st - abgänge ii - iii qiii ( alter imi ) ,1,['normal_ecg']
 sinus rhythm normal ecg edit norm xxxx muskelzittern tachykardie ,1,['normal_ecg']
 sinus rhythm normal ecg edit norm xxxx sokolow xxxx ( lvh xxxx ) ,1,['normal_ecg']
 sinus rhythm normal ecg leads v4 xxxx show artifact ,1,['normal_ecg']
 sinus rhythm normal ecg edit norm xxxx ( m xxxx ) ( norm xxxx ) ,2,['normal_ecg']
 sinus rhythm voltages in limb leads are at upper limit normal ecg ,6,['normal_ecg']
 sinus rhythm normal ecg edit norm geringe r - progressionv1 - xxxx rsiii ( norm xxxx ) ,1,['normal_ecg']
 sinus rhythm p wave are inconspicuous normal ecg ,1,['normal_ecg']
 sinus arhythmia minor terminal intraventricular conduction delay normal ecg ,1,['normal_ecg']
 sinus rhythm left anterior fascicular block normal ecg ,5,['normal_ecg']
 sinus rhythm normal ecg the p wave axis is unusual and the rhythm may derive from a supraventricular site other than the sa node ,1,['normal_ecg']
 sinus rhythm normal ecg edit norm xxxx qiii ( norm xxxx ) ,3,['normal_ecg']
 sinus rhythm normal ecg edit norm xxxx isc ( norm xxxx ) ,1,['normal_ecg']
 sinus rhythm normal ecg edit norm xxxx sokolow xxxx ( norm xxxx ) ,2,['normal_ecg']
 sinus rhythm normal ecg edit norm irbbb alter asmi nicht auszuschließen ,1,['normal_ecg']
 premature atrial contraction ( s ) bigeminy sinus rhythm normal ecg ,1,['normal_ecg']
 sinus rhythm normal ecg edit norm xxxx tachykardie ndt v3 schlechte qualität ,1,['normal_ecg']
 vorhofflimmern tachykard lagetyp normal ecg pathologisch ,1,['normal_ecg']
 sinus rhythm minor terminal intraventricular conduction delay normal ecg ,1,['normal_ecg']
 sinus rhythm normal ecg edit norm xxxx variables qiii ( norm xxxx ) ,1,['normal_ecg']
 sinus arrhythmia normal ecg edit norm xxxx ( tachykarde pase hr xxxx - min ) ,1,['normal_ecg']
 sinus rhythm voltages in limb leads are at upper limit normal ecg edit norm xxxx ( norm xxxx ) ,1,['normal_ecg']
 sinus rhythm normal ecg edit norm xxxx tnegiii ( norm xxxx ) ,1,['normal_ecg']
 sinus rhythm normal ecg edit norm xxxx ( iscil xxxx ) ,1,['normal_ecg']
 sinus arrhythmia normal ecg edit ndt qr ( ndt xxxx imi xxxx ) ,1,['normal_ecg']
 sinus rhythm normal ecg edit norm rsriii ( norm xxxx ivcb ) ,1,['normal_ecg']
 sinus rhythm normal ecg edit norm xxxx v4 xxxx schlechte qualität ,1,['normal_ecg']
