statement,occurences,proposed label
 sinus rhythm left axis deviation left anterior fascicular block q wave in v2 - xxxx st segments are elevated in v3 xxxx t wave are inverted in avl v2 - xxxx and flat in i consistent with anterior myocardial infarct probably old ,1,['anterior_infarct']
 sinus rhythm q wave in ii iii avf consistent with old inferior myocardial infarct ,23,['inferior_infarct']
 premature atrial contraction ( s ) sinus rhythm prolonged pr interval left axis deviation right bundle branch block q wave in ii iii avf consistent with old inferior myocardial infarct ,1,['inferior_infarct']
 sinus tachycardia qs complex in v2 and tiny r wave in v3 consistent with old anteroseptal myocardial infarct ,1,['anteroseptal_infarct']
 sinus rhythm possible left atrial enlargement voltages are high in limb leads suggesting lvh qs complex in v2 suggesting old anteroseptal myocardial infarct st segments are depressed in i avl v5 xxxx t wave are inverted in i avl v3 - xxxx this ma ,1,['anteroseptal_infarct']
 sinus rhythm possible old inferior myocardial infarct ,3,['inferior_infarct']
 atrial fibrillation qs complex in v2 and tiny r wave in v3 xxxx st segments are depressed in i ii avl v5 xxxx t wave are inverted in i avl v5 xxxx consistent with ischaemic heart disease with old anteroseptal myocardial infarct it is difficult to ,1,['anteroseptal_infarct']
 sinus rhythm right bundle branch block q wave in chest leads consistent with old anterior myocardial infarct possible old inferior myocardial infarct edit asmi xxxx crbbb infarkt sicher ( asmi xxxx crbbb ) ,2,"['anterior_infarct', 'inferior_infarct']"
 sinus rhythm possible left atrial enlargement q wave and small r wave in v2 suggesting old anteroseptal myocardial infarct non - specific t wave flattening in v6 ,1,['anteroseptal_infarct']
 sinus rhythm q wave in ii iii avf suggesting old inferior myocardial infarct ,2,['inferior_infarct']
 sinus rhythm left ventricular hypertrophy st segments are depressed in v5 xxxx q wave in ii iii avf t wave are low or flat in limb leads and v5 xxxx consistent with ischaemic heart disease with old inferior myocardial infarct ,1,['inferior_infarct']
 sinus rhythm tiny r wave in v2 old anteroseptal infarct cannot be excluded otherwise normal ecg ,1,['anteroseptal_infarct']
 sinus rhythm premature ventricular contraction ( s ) possible left atrial enlargement r - s transition zone in v leads displaced to the right q wave in ii iii avf consistent with old inferior myocardial infarct st segments are depressed in i avl ,1,['inferior_infarct']
 sinus rhythm qs complex in v2 suggesting old anteroseptal infarct otherwise normal ecg ,1,['anteroseptal_infarct']
 premature ventricular contraction ( s ) sinus rhythm voltages are high in chest leads suggesting lvh poor progression of r wave in anterior chest leads old anteroseptal myocardial infarct cannot be excluded ,1,['anteroseptal_infarct']
 sinus rhythm low limb lead voltage possible old inferior myocardial infarct ,1,['inferior_infarct']
 sinus rhythm incomplete right bundle branch block t wave are inverted in v4 xxxx and low or flat in i avl findings may be due to lateral myocardial ischaemia or subendocardial infarct of uncertain age ,1,['generic_infarct']
 sinus rhythm borderline left axis deviation qs complex in v2 and tiny r wave in v3 suggesting old anteroseptal myocardial infarct ,1,['anteroseptal_infarct']
 atrial fibrillation with rapid ventricular response non - specific intraventricular block q wave in ii iii avf consistent with old inferior myocardial infarct st segments are depressed and t wave inverted in i ii v4 xxxx this may be due to ,1,['inferior_infarct']
 sinus rhythm borderline left axis deviation qs complex in v2 xxxx consistent with old anteroseptal myocardial infarct ,1,['anteroseptal_infarct']
 atrial fibrillation with slow ventricular response non - specific intraventricular block tiny r wave in v2 xxxx suggesting old anteroseptal myocardial infarct non - specific st and t wave change ,1,['anteroseptal_infarct']
 sinus rhythm q wave and t wave inversion in v2 suggesting old anteroseptal infarct otherwise normal ecg ,1,['anteroseptal_infarct']
 atrial fibrillation with rapid ventricular response probable old anterior and inferior infarcts there is much artifact present ,1,['inferior_infarct']
 sinus rhythm prolonged pr interval qs complex in v2 and tiny r wave in v3 suggesting old anteroseptal myocardial infarct ,1,['anteroseptal_infarct']
 sinus rhythm non - specific intraventricular block q wave in ii iii avf consistent with old inferior myocardial infarct ,3,['inferior_infarct']
 sinus rhythm q wave in ii iii avf consistent with old inferior myocardial infarct non - specific t wave flattening in i avl v6 ,1,['inferior_infarct']
 premature atrial contraction ( s ) sinus rhythm low limb lead voltage st segments are depressed in i ii v3 - xxxx this may be due to lv strain or ischaemia possible old inferior myocardial infarct ,1,['inferior_infarct']
 sinus rhythm left axis deviation left anterior fascicular block q wave in v2 an old anteroseptal infarct cannot be excluded ,1,['anteroseptal_infarct']
 premature ventricular contraction ( s ) atrial fibrillation with rapid ventricular response qs complex in v2 and tiny r wave in v3 consistent with anteroseptal myocardial infarct of uncertain age st segments are depressed in ii iii avf v5 xxxx t w ,1,['anteroseptal_infarct']
 atrial fibrillation st segments are depressed in i avl v4 xxxx t wave are low or flat throughout findings are likely to be due to ischaemic heart disease and digitalis effect possible old inferior myocardial infarct suggest exclude hypokalaemia ,1,['inferior_infarct']
 sinus rhythm tiny r wave in v2 this may be normal but old anteroseptal myocardial infarct cannot be excluded no definite ecg evidence to suggest pulmonary embolism ,1,['anteroseptal_infarct']
 sinus tachycardia qs complex in v2 xxxx consistent with old anteroseptal myocardial infarct st segments are depressed in i ii v5 xxxx t wave are flat in i avl this may be due to lv strain or ischaemia ,1,['anteroseptal_infarct']
 sinus rhythm q wave and t wave inversion in ii iii avf consistent with old inferior myocardial infarct ,3,['inferior_infarct']
 atrial fibrillation tiny r wave in v2 xxxx suggesting old anteroseptal infarct possible old inferior myocardial infarct st segments are depressed in i ii avl v5 xxxx t wave are flat in these leads findings are likely to be due to ischaemic heart d ,2,"['inferior_infarct', 'anteroseptal_infarct']"
