statement,occurences,proposed label
 sinus rhythm normal ecg there is no ecg evidence to suggest pericarditis moreover acute pericarditis would be unlikely in the absence of tachycardia ,1,['pericarditis']
 sinus rhythm left anterior fascicular block widespread t wave inversion query resolving pericarditis ischaemia or myocarditis likely ,1,['pericarditis']
 sinusrhythmus lagetyp normal unvollständiger rechtsschenkelblock unspezifisches abnormales t periphere low voltage ,1,['low_voltage']
 sinusrhythmus linkstyp qrs ( t ) abnormal inferiorer infarkt wahrscheinlich alt st - senkung in v4 - xxxx t abgeflacht in allen ableitungen periphere low voltage ,1,['low_voltage']
 sinus rhythm st change in v2 - xxxx with appearance that would fit benign early repolarization at a younger age - probably normal but could represent ischaemia or localised pericarditis ,1,['pericarditis']
 premature ventricular contraction ( s ) sinus rhythm low limb lead voltage non - specific st and t wave change there is very slight st segment elevation and t wave inversion in ii iii avf this is difficult to assess because of the very low voltages in thes ,1,['low_voltage']
 wandernder schritmacher rechtstyp überdreht st - senkung in ii iii avf v4 - xxxx low voltage bei emphysem ,1,['low_voltage']
 sinus rhythm qs complex in v2 xxxx suggesting old anteroseptal myocardial infarct there is no definite ecg evidence to suggest pericarditis ,1,['pericarditis']
 sinusrhythmus linkstyp periphere low voltage ,1,['low_voltage']
 tachykardes vorhofflimmern slt ves uniform st - senkung in v5 - xxxx ii iii avf periphere low voltage ,1,['low_voltage']
 sinus rhythm low voltage q wave and st segment elevation in v2 xxxx consistent with anteroseptal myocardial infarct of uncertain age if the infarct is old a ventricular aneurysm may be present ,1,['low_voltage']
 sinus rhythm normal ecg acute pericarditis would be unlikely in the absence of tachycardia ,1,['pericarditis']
 sinus tachycardia low voltage complex non - specific t wave change in v2 xxxx these suggest ischaemia or right ventricular strain ,1,['low_voltage']
 sinustachykardie lagetyp normal infarkt inferior ( ii iii f ) chronisch moeglich ecg pathologisch periphere low voltage ,1,['low_voltage']
 sinusbradykardie lagetyp normal hohes t in vq f iii periphere low voltage wahrscheinlich normales ecg ,1,['low_voltage']
 sinusrhythmus linkstyp verzögerte r - progression v1 - xxxx periphere low voltage ,1,['low_voltage']
 sinusrhythmus linkstyp partieller recht schenkelblock intermitierend t klein in iii avl avf v3 periphere low voltage pathologisches ecg ,1,['low_voltage']
 sinustachykardie lagetyp normal intraventr leitungsstörung in ii iii avf avl avr v5 v6 low voltage grenzbefund ,1,['low_voltage']
 sinustachykardie st and t abnormal low voltage verzoegerte r - progression v2 - xxxx pathologisch ,1,['low_voltage']
