statement,occurences,proposed label
 sinus rhythm abnormal left axis deviation prolonged qt ,1,['left_axis_deviation']
 sinus rhythm left axis deviation left anterior fascicular block q wave in v2 - xxxx st segments are elevated in v3 xxxx t wave are inverted in avl v2 - xxxx and flat in i consistent with anterior myocardial infarct probably old ,1,['left_axis_deviation']
 premature atrial contraction ( s ) sinus rhythm prolonged pr interval left axis deviation right bundle branch block q wave in ii iii avf consistent with old inferior myocardial infarct ,1,['left_axis_deviation']
 sinus tachycardia left axis deviation left bundle branch block this is most commonly due to ischaemic heart disease ,3,['left_axis_deviation']
 premature ventricular contraction ( s ) atrial fibrillation left axis deviation left bundle branch block this is most commonly due to ischaemic heart disease ,2,['left_axis_deviation']
 sinus rhythm left axis deviation left anterior fascicular block ,47,['left_axis_deviation']
 sinus rhythm left axis deviation left bundle branch block this is most commonly due to ischaemic heart disease ,19,['left_axis_deviation']
 premature ventricular contraction ( s ) sinus rhythm rightward axis ,1,['right_axis_deviation']
 sinus rhythm borderline left axis deviation q wave and st segment elevation in v2 cannot rule out anteroseptal myocardial damage st segments are depressed in i avl v5 xxxx t wave are low or flat in these leads this may be due to lv strain or ischaem ,1,['left_axis_deviation']
 sinus rhythm left axis deviation left anterior fascicular block otherwise no definite pathology lead v5 shows artifact ,1,['left_axis_deviation']
 sinus rhythm borderline left axis deviation low limb lead voltage no definite pathology ,2,['left_axis_deviation']
 sinus arrhythmia left axis deviation no definite pathology ,1,['left_axis_deviation']
 sinus rhythm left axis deviation left anterior fascicular block right bundle branch block bifascicular block pr interval is normal ,19,['left_axis_deviation']
 atrial fibrillation with rapid ventricular response right superior axis deviation left anterior fascicular block right bundle branch block bifascicular block ,1,['right_axis_deviation']
 atrial fibrillation with rapid ventricular response left axis deviation left anterior fascicular block non - specific st and t wave change in i avl ,1,['left_axis_deviation']
 sinus rhythm possible left atrial enlargement left axis deviation left bundle branch block this is most commonly due to ischaemic heart disease ,1,['left_axis_deviation']
 sinus rhythm borderline left axis deviation qs complex in v2 and tiny r wave in v3 suggesting old anteroseptal myocardial infarct ,1,['left_axis_deviation']
 sinus rhythm borderline left axis deviation qs complex in v2 xxxx consistent with old anteroseptal myocardial infarct ,1,['left_axis_deviation']
 atrial fibrillation left axis deviation left bundle branch block this is most commonly due to ischaemic heart disease ,6,['left_axis_deviation']
 sinus rhythm left axis deviation left anterior fascicular block q wave in v2 an old anteroseptal infarct cannot be excluded ,1,['left_axis_deviation']
 sinus rhythm rightward axis right bundle branch block possible right ventricular hypertrophy edit rvh xxxx crbbb lpfb ( crbbb lpfb rvh xxxx ) ,1,['right_axis_deviation']
 atrial fibrillation left axis deviation non - specific intraventricular block ,5,['left_axis_deviation']
 premature atrial contraction ( s ) sinus rhythm left axis deviation left anterior fascicular block qs complex in v2 and tiny r wave in v3 consistent with old anteroseptal myocardial infarct non - specific t wave flattening in limb leads and v5 xxxx ,1,['left_axis_deviation']
 sinus rhythm rightward axis probable left posterior fascicular block qs complex in v2 xxxx consistent with old anterior myocardial infarct q wave in i avl suggesting old lateral infarct ,1,['right_axis_deviation']
 sinus tachycardia left atrial enlargement left axis deviation qs complex in v2 xxxx consistent with anteroseptal myocardial infarct of uncertain age probably old st segments are depressed and t wave inverted in i avl v5 xxxx this may be due to ,1,['left_axis_deviation']
 sinus rhythm left axis deviation left anterior fascicular block otherwise normal ecg ,23,['left_axis_deviation']
 atrial fibrillation left axis deviation low limb lead voltage t wave are inverted in lateral leads findings are likely to be due to ischaemic heart disease ,1,['left_axis_deviation']
 atrial fibrillation left axis deviation low limb lead voltage q wave in ii iii avf consistent with old inferior myocardial infarct qs complex in v2 - xxxx consistent with anterior myocardial infarct probably old ,1,['left_axis_deviation']
 atrial fibrillation borderline left axis deviation otherwise no definite pathology ,1,['left_axis_deviation']
 premature atrial contraction ( s ) sinus rhythm left axis deviation left anterior fascicular block voltages are high in chest leads suggesting lvh non - specific intraventricular delay inferolateral st and t wave change these may be due to lv strain or isc ,1,['left_axis_deviation']
 sinus rhythm left axis deviation left anterior fascicular block non - specific t wave change in v2 xxxx myocardial ischaemia is a possible cause ,1,['left_axis_deviation']
 premature ventricular contraction ( s ) sinus rhythm left axis deviation left bundle branch block this is most commonly due to ischaemic heart disease ,3,['left_axis_deviation']
 sinus rhythm left axis deviation non - specific intraventricular block left ventricular hypertrophy st segments are depressed in i ii avl v5 xxxx t wave are inverted in i avl v6 this may be due to lv strain or ischaemia ,1,['left_axis_deviation']
 atrial fibrillation with slow ventricular response left axis deviation left anterior fascicular block left ventricular hypertrophy st segments are depressed and t wave inverted in i ii avl v4 xxxx this may be due to lv strain or ischaemia poss ,1,['left_axis_deviation']
 premature ventricular contraction ( s ) sinus rhythm left axis deviation tiny r wave in v2 xxxx suggesting old anteroseptal infarct possible old inferior myocardial infarct non - specific st and t wave change in lateral leads ,1,['left_axis_deviation']
 atrial fibrillation left axis deviation st segments are depressed in i avl v5 xxxx t wave are low or flat throughout prolonged qt findings are likely to be due to ischaemic heart disease and digitalis effect suggest exclude hypokalaemia ,1,['left_axis_deviation']
 sinus rhythm left axis deviation left anterior fascicular block minor non - specific st segment depression in i v2 and v4 xxxx ,1,['left_axis_deviation']
 sinus rhythm left axis deviation voltages are high in limb leads suggesting lvh ,3,['left_axis_deviation']
 sinus rhythm borderline left axis deviation otherwise normal ecg ,2,['left_axis_deviation']
 sinus rhythm left axis deviation borderline criteria for left anterior fascicular block otherwise normal ecg ,1,['left_axis_deviation']
 premature atrial contraction ( s ) trigeminy sinus rhythm prolonged pr interval left axis deviation ,1,['left_axis_deviation']
 premature ventricular contraction ( s ) sinus rhythm left atrial enlargement left axis deviation left bundle branch block this is most commonly due to ischaemic heart disease ,1,['left_axis_deviation']
 atrial fibrillation left axis deviation st segments are depressed in i avl v2 - xxxx non - specific but consistent with myocardial ischaemia and digitalis effect ,1,['left_axis_deviation']
 sinus rhythm borderline left axis deviation no definite pathology ,12,['left_axis_deviation']
 sinus rhythm left axis deviation non - specific intraventricular block ,5,['left_axis_deviation']
 sinus rhythm left axis deviation right bundle branch block edit asmi xxxx almi xxxx crbbb ( crbbb lafb ) ,1,['left_axis_deviation']
 sinus rhythm prolonged pr interval left axis deviation left ventricular hypertrophy tiny r wave in v2 xxxx suggesting old anterior infarct ,1,['left_axis_deviation']
 sinus rhythm borderline left axis deviation prolonged qt this may be due to a drug effect or an electrolyte disturbance ,1,['left_axis_deviation']
 sinus tachycardia left axis deviation left anterior fascicular block non - specific intraventricular block poor progression of r wave in anterior chest leads this may be due to marked clockwise rotation but old anterior myocardial infarct cannot be ,1,['left_axis_deviation']
 atrial fibrillation left axis deviation st segments are depressed in i ii avl v4 xxxx this may be due to lv strain or ischaemia and digitalis effect ,1,['left_axis_deviation']
 sinus rhythm rightward axis low limb lead voltage st segments are elevated in ii iii avf v4 xxxx consistent with inferolateral myocardial infarct which appears recent ,1,['right_axis_deviation']
 sinus rhythm abnormal left axis deviation left anterior fascicular block right bundle branch block bifascicular block possible old inferior infarct ,1,['left_axis_deviation']
 premature ventricular contraction ( s ) sinus rhythm right axis deviation incomplete right bundle branch block ,1,['right_axis_deviation']
 sinus rhythm left axis deviation left anterior fascicular block q wave in v2 old anteroseptal infarct cannot be excluded ,2,['left_axis_deviation']
 premature ventricular contraction ( s ) sinus rhythm prolonged pr interval left axis deviation left anterior fascicular block ,1,['left_axis_deviation']
 sinus rhythm borderline left axis deviation normal ecg ,6,['left_axis_deviation']
 sinus rhythm left axis deviation st segments are depressed in i avl v4 xxxx t wave are low or slightly inverted in these leads this may be due to lv strain or ischaemia ,1,['left_axis_deviation']
 sinus rhythm left axis deviation left anterior fascicular block non - specific intraventricular block left ventricular hypertrophy ,1,['left_axis_deviation']
 sinus rhythm left axis deviation right bundle branch block non - specific st and t wave change ,1,['left_axis_deviation']
 sinus tachycardia left axis deviation no definite pathology ,1,['left_axis_deviation']
 sinus rhythm borderline left axis deviation st segments are slightly depressed in v5 xxxx t wave are generally rather low prolonged qt suggest exclude hypokalaemia ,1,['left_axis_deviation']
 sinus rhythm borderline left axis deviation left bundle branch block this is most commonly due to ischaemic heart disease ,6,['left_axis_deviation']
 sinus rhythm prolonged pr interval left axis deviation probable infero - posterior infarct of undetermined age ,1,['left_axis_deviation']
 premature atrial contraction ( s ) sinus rhythm left axis deviation left anterior fascicular block qs complex in v2 suggesting old anteroseptal myocardial infarct ,1,['left_axis_deviation']
 sinus rhythm prolonged pr interval left axis deviation left anterior fascicular block t wave are low or flat in i avl v4 xxxx t wave are inverted in v2 xxxx findings may be due to lv strain or ischaemia ,1,['left_axis_deviation']
 premature ventricular contraction ( s ) sinus rhythm right axis deviation low limb lead voltage possible left posterior fascicular block right bundle branch block non - specific t wave inversion in ii iii avf possible old inferior myocardial infarctio ,1,['right_axis_deviation']
 premature atrial contraction ( s ) sinus tachycardia borderline left axis deviation r - s transition zone in v leads displaced to the left non - specific t wave flattening in i avl v5 xxxx leads v2 xxxx show artifact ,1,['left_axis_deviation']
 sinus rhythm left axis deviation left anterior fascicular block edit lafb xxxx ( lafb xxxx ) ,1,['left_axis_deviation']
 sinus rhythm left axis deviation non - specific t wave flattening in i avl v5 xxxx ,1,['left_axis_deviation']
 premature atrial contraction ( s ) sinus rhythm rightward axis otherwise normal ecg ,1,['right_axis_deviation']
 sinus rhythm borderline left axis deviation compared with tracing of xxxx t wave now upright in i avl but remain low or flat in v4 xxxx ,1,['left_axis_deviation']
 premature ventricular contraction ( s ) sinus rhythm prolonged pr interval possible left atrial enlargement left axis deviation non - specific intraventricular block old anteroseptal infarct non - specific st and t wave change ,1,['left_axis_deviation']
 sinus rhythm borderline left axis deviation non - specific t wave inversion in iii avf this may be normal ,1,['left_axis_deviation']
 sinus rhythm borderline left axis deviation no definite pathology edit ivcb ( norm xxxx lafb ) ,1,['left_axis_deviation']
 sinus bradycardia premature atrial contraction ( s ) bigeminy prolonged pr interval xxxx sec left axis deviation right bundle branch block ,1,['left_axis_deviation']
 sinus rhythm prolonged pr interval left axis deviation left anterior fascicular block possible old inferior infarct ,1,['left_axis_deviation']
 sinus rhythm left axis deviation right bundle branch block compared with tracing of xxxx pr interval now shorter ,1,['left_axis_deviation']
 sinus rhythm left axis deviation qs complex in v2 xxxx q wave in i avl v4 xxxx st segments are elevated in v2 xxxx t wave are inverted in i avl v2 - xxxx consistent with anterior and lateral myocardial infarct of uncertain age recent damage canno ,1,['left_axis_deviation']
 sinus rhythm compared with tracings of xxxx and xxxx left axis deviation has increased and there now left anterior fascicular block as well as right bundle branch block and slightly prolonged pr interval patient has trifascicular block ,1,['left_axis_deviation']
 sinus rhythm left atrial enlargement borderline left axis deviation right bundle branch block ,1,['left_axis_deviation']
 sinus rhythm left axis deviation voltages are high in limb leads suggesting lvh non - specific intraventricular block st segments are depressed in i avl v5 xxxx this may be due to lv strain or ischaemia ,1,['left_axis_deviation']
 sinus rhythm left axis deviation no definite pathology edit lafb ( norm xxxx lafb ) ,1,['left_axis_deviation']
