statement,occurences,proposed label
 sinus rhythm normal ecg ,1818,['normal_sinus_rhythm']
 premature ventricular contraction ( s ) sinus rhythm incomplete right bundle branch block no definite pathology ,1,['normal_sinus_rhythm']
 premature ventricular contraction ( s ) bigeminy sinus rhythm left bundle branch block this is most commonly due to ischaemic heart disease ,1,['normal_sinus_rhythm']
 premature atrial contraction ( s ) sinus rhythm left atrial enlargement qs complex in v2 st segments are slightly elevated in v2 xxxx st segments are depressed in i avl t wave are low or flat in i v5 xxxx and inverted in avl consistent with ischaemic h ,1,['normal_sinus_rhythm']
 sinus rhythm st segment depression in inferolateral leads suggests ischaemia or left ventricular strain ,1,['normal_sinus_rhythm']
 sinus rhythm abnormal left axis deviation prolonged qt ,1,['normal_sinus_rhythm']
 sinus rhythm non - specific t wave flattening in v3 xxxx prolonged qt this may be due to a drug effect or an electrolyte disturbance ,1,['normal_sinus_rhythm']
 sinus tachycardia left atrial enlargement non - specific st and t wave change in inferolateral leads findings are likely to be due to ischaemic heart disease ,1,['sinus_tachycardia']
 sinus rhythm non - specific t wave flattening or slight inversion in v2 xxxx ,1,['normal_sinus_rhythm']
 sinus rhythm left axis deviation left anterior fascicular block q wave in v2 - xxxx st segments are elevated in v3 xxxx t wave are inverted in avl v2 - xxxx and flat in i consistent with anterior myocardial infarct probably old ,1,['normal_sinus_rhythm']
 sinus rhythm q wave in ii iii avf consistent with old inferior myocardial infarct ,23,['normal_sinus_rhythm']
 sinus rhythm no definite pathology ,230,['normal_sinus_rhythm']
 premature atrial contraction ( s ) sinus rhythm prolonged pr interval left axis deviation right bundle branch block q wave in ii iii avf consistent with old inferior myocardial infarct ,1,['normal_sinus_rhythm']
 sinus tachycardia qs complex in v2 and tiny r wave in v3 consistent with old anteroseptal myocardial infarct ,1,['sinus_tachycardia']
 premature atrial contraction ( s ) sinus rhythm left atrial enlargement qs complex in v2 and tiny r wave in v3 st segments are depressed and t wave inverted in i avl v5 xxxx consistent with ischaemic heart disease with old anteroseptal myocardial ,1,['normal_sinus_rhythm']
 sinus rhythm left atrial enlargement voltages are high in chest leads suggesting lvh st segments are depressed and t wave inverted in i avl v4 xxxx this may be due to lv strain or ischaemia ,1,['normal_sinus_rhythm']
 sinus rhythm possible left atrial enlargement voltages are high in limb leads suggesting lvh qs complex in v2 suggesting old anteroseptal myocardial infarct st segments are depressed in i avl v5 xxxx t wave are inverted in i avl v3 - xxxx this ma ,1,['normal_sinus_rhythm']
 sinus rhythm minor non - specific t wave flattening in limb leads and v5 xxxx ,3,['normal_sinus_rhythm']
 sinus rhythm chest lead voltages suggest possible lv hypertrophy otherwise normal ecg ,1,['normal_sinus_rhythm']
 sinus tachycardia left axis deviation left bundle branch block this is most commonly due to ischaemic heart disease ,3,['sinus_tachycardia']
 sinus arrhythmia normal ecg ,52,['sinus_arrhythmia']
 sinus bradycardia with sinus arrhythmia the cause of the bradycardia is not evident voltages are high in chest leads suggesting lvh st segments are depressed in i ii avl v4 xxxx this may be due to lv strain or ischaemia prolonged qt this may be du ,2,"['sinus_arrhythmia', 'sinus_bradycardia']"
 sinus rhythm left axis deviation left anterior fascicular block ,47,['normal_sinus_rhythm']
 sinus rhythm left axis deviation left bundle branch block this is most commonly due to ischaemic heart disease ,19,['normal_sinus_rhythm']
 premature ventricular contraction ( s ) sinus rhythm right bundle branch block ,3,['normal_sinus_rhythm']
 sinus rhythm minor non - specific t wave flattening in i avl v5 xxxx this is of doubtful significance ,1,['normal_sinus_rhythm']
 sinus bradycardia voltages are high in chest leads suggesting lvh the cause of the bradycardia is not evident ,2,['sinus_bradycardia']
 sinus rhythm possible old inferior myocardial infarct ,3,['normal_sinus_rhythm']
 sinus rhythm incomplete right bundle branch block this is probably a normal variant high v lead voltages are probably normal for age ,1,['normal_sinus_rhythm']
 sinus rhythm normal ecg edit norm xxxx ( norm xxxx ) ,46,['normal_sinus_rhythm']
 sinus rhythm minor non - specific st and t wave change in i avl ,1,['normal_sinus_rhythm']
 sinus rhythm left ventricular hypertrophy widespread st segment depression and t wave inversion this may be due to lv strain or ischaemia ,1,['normal_sinus_rhythm']
 premature ventricular contraction ( s ) sinus rhythm rightward axis ,1,['normal_sinus_rhythm']
 sinus rhythm left atrial enlargement voltages are high in chest leads suggesting lvh st segments are depressed in i ii iii avl avf v5 xxxx t wave are inverted in i avl v5 xxxx this may be due to lv strain or ischaemia st segments are elevated i ,1,['normal_sinus_rhythm']
 sinus rhythm left ventricular hypertrophy possible left atrial enlargement widespread st segment depression and t wave inversion this may be due to lv strain or ischaemia ,1,['normal_sinus_rhythm']
 sinus rhythm non - specific t wave flattening in v2 - xxxx ,2,['normal_sinus_rhythm']
 sinus arrhythmia non - specific t wave flattening in v4 xxxx myocardial ischaemia cannot be excluded ,1,['sinus_arrhythmia']
 sinus rhythm borderline left axis deviation q wave and st segment elevation in v2 cannot rule out anteroseptal myocardial damage st segments are depressed in i avl v5 xxxx t wave are low or flat in these leads this may be due to lv strain or ischaem ,1,['normal_sinus_rhythm']
 sinus rhythm right bundle branch block q wave in chest leads consistent with old anterior myocardial infarct possible old inferior myocardial infarct edit asmi xxxx crbbb infarkt sicher ( asmi xxxx crbbb ) ,1,['normal_sinus_rhythm']
 sinus rhythm voltages are high in chest leads suggesting lvh st segments are depressed in ii iii avf v4 xxxx this may be due to lv strain or ischaemia ,3,['normal_sinus_rhythm']
