statement,occurences,proposed label
 sinus rhythm non - specific t wave flattening in v3 xxxx prolonged qt this may be due to a drug effect or an electrolyte disturbance ,1,['t_flattening']
 sinus tachycardia left atrial enlargement non - specific st and t wave change in inferolateral leads findings are likely to be due to ischaemic heart disease ,2,"['st_abnormality', 't_abnormality']"
 sinus rhythm non - specific t wave flattening or slight inversion in v2 xxxx ,1,['t_flattening']
 sinus rhythm minor non - specific t wave flattening in limb leads and v5 xxxx ,3,['t_flattening']
 sinus rhythm minor non - specific t wave flattening in i avl v5 xxxx this is of doubtful significance ,1,['t_flattening']
 sinus rhythm minor non - specific st and t wave change in i avl ,2,"['st_abnormality', 't_abnormality']"
 sinus rhythm left ventricular hypertrophy widespread st segment depression and t wave inversion this may be due to lv strain or ischaemia ,1,['t_inversion']
 sinus rhythm left ventricular hypertrophy possible left atrial enlargement widespread st segment depression and t wave inversion this may be due to lv strain or ischaemia ,1,['t_inversion']
 sinus rhythm non - specific t wave flattening in v2 - xxxx ,2,['t_flattening']
 sinus arrhythmia non - specific t wave flattening in v4 xxxx myocardial ischaemia cannot be excluded ,1,['t_flattening']
 sinus rhythm possible left atrial enlargement q wave and small r wave in v2 suggesting old anteroseptal myocardial infarct non - specific t wave flattening in v6 ,1,['t_flattening']
 atrial fibrillation with rapid ventricular response low limb lead voltage minor non - specific st and t wave change prolonged qt this may be due to a drug effect or an electrolyte disturbance coarse fibrillation wave accord with mitral valve disease ,2,"['st_abnormality', 't_abnormality']"
 sinus rhythm minor nonspecific anterior st t change ,1,['t_abnormality']
 premature ventricular contraction ( s ) a rapid regular supraventricular tachycardia is present rhythm is probably atrial flutter with xxxx av block left ventricular hypertrophy non - specific st and t wave change ,2,"['st_abnormality', 't_abnormality']"
 sinus rhythm minor non - specific t wave flattening in i avl v2 xxxx edit norm xxxx ( ndt ) ,1,['t_flattening']
 sinus rhythm prolonged pr interval left atrial enlargement compared with tracing of xxxx rhythm was previously atrial flutter otherwise it is similar with non - specific st and t wave change ,2,"['st_abnormality', 't_abnormality']"
 atrial fibrillation with rapid ventricular response non - specific st and t wave change ,16,"['st_abnormality', 't_abnormality']"
 sinus rhythm non - specific t wave flattening in i avl ,5,['t_flattening']
 sinus rhythm minor non - specific intraventricular delay minor non - specific t wave flattening no definite evidence of ischaemia or rhythm disturbance minor qt prolongation ,1,['t_flattening']
 sinus rhythm minor non - specific st and t wave change ,8,"['st_abnormality', 't_abnormality']"
 atrial fibrillation with rapid ventricular response left axis deviation left anterior fascicular block non - specific st and t wave change in i avl ,2,"['st_abnormality', 't_abnormality']"
 sinus rhythm non - specific t wave flattening in limb leads and v5 xxxx myocardial ischaemia is a likely cause ,1,['t_flattening']
 sinus rhythm widespread t wave flattening myocardial ischaemia is likely suggest exclude hypokalaemia ,1,['t_flattening']
 sinus rhythm non - specific t wave flattening in i avl v5 xxxx ,11,['t_flattening']
 premature ventricular contraction ( s ) sinus arrhythmia minor non - specific t wave flattening in i avl v6 ,1,['t_flattening']
 sinus rhythm n0n - specific t wave inversion in iii avf this may be normal ,1,['t_inversion']
 sinus rhythm compared with tracings of xxxx and xxxx it is similar to the latter but st segment depression and t wave inversion in inferior leads are a little deeper ,1,['t_inversion']
 atrial fibrillation with slow ventricular response non - specific intraventricular block tiny r wave in v2 xxxx suggesting old anteroseptal myocardial infarct non - specific st and t wave change ,2,"['st_abnormality', 't_abnormality']"
 sinus rhythm q wave and t wave inversion in v2 suggesting old anteroseptal infarct otherwise normal ecg ,1,['t_inversion']
 sinus rhythm q wave in ii iii avf consistent with old inferior myocardial infarct non - specific t wave flattening in i avl v6 ,1,['t_flattening']
 sinus rhythm possible left atrial enlargement minor non - specific t wave flattening in v5 xxxx ,1,['t_flattening']
 sinus rhythm non - specific t wave flattening in v2 xxxx ,3,['t_flattening']
 sinus tachycardia right atrial enlargement incomplete right bundle branch block non - specific st and t wave change in inferolateral leads ,2,"['st_abnormality', 't_abnormality']"
 sinus rhythm q wave and t wave inversion in ii iii avf consistent with old inferior myocardial infarct ,3,['t_inversion']
 premature atrial contraction ( s ) sinus rhythm non - specific t wave flattening in i v4 xxxx myocardial ischaemia is likely ,1,['t_flattening']
 sinus rhythm non - specific t wave flattening in i v2 xxxx ,1,['t_flattening']
 premature atrial contraction ( s ) sinus rhythm left axis deviation left anterior fascicular block qs complex in v2 and tiny r wave in v3 consistent with old anteroseptal myocardial infarct non - specific t wave flattening in limb leads and v5 xxxx ,1,['t_flattening']
 sinus rhythm incomplete right bundle branch block minor non - specific t wave flattening ,1,['t_flattening']
 sinus rhythm incomplete right bundle branch block non - specific t wave change in v4 xxxx myocardial ischaemia is a possible cause ,1,['t_abnormality']
 atrial fibrillation compared with tracing of xxxx st and t wave change are more marked in i ii avl findings are likely to be due to ischaemic heart disease ,2,"['st_abnormality', 't_abnormality']"
 premature atrial contraction ( s ) sinus rhythm left axis deviation left anterior fascicular block voltages are high in chest leads suggesting lvh non - specific intraventricular delay inferolateral st and t wave change these may be due to lv strain or isc ,2,"['st_abnormality', 't_abnormality']"
 sinus rhythm left axis deviation left anterior fascicular block non - specific t wave change in v2 xxxx myocardial ischaemia is a possible cause ,1,['t_abnormality']
 sinus rhythm q wave in v2 suggesting old anteroseptal infarct minor non - specific t wave flattening in i avl ,1,['t_flattening']
 sinus rhythm prolonged pr interval minor non - specific t wave flattening in i avl v6 ,2,['t_flattening']
 premature ventricular contraction ( s ) sinus rhythm left axis deviation tiny r wave in v2 xxxx suggesting old anteroseptal infarct possible old inferior myocardial infarct non - specific st and t wave change in lateral leads ,2,"['st_abnormality', 't_abnormality']"
 sinus rhythm prolonged pr interval qs complex in v2 and tiny r wave in v3 consistent with old anteroseptal myocardial infarct t wave flattening in i avl v4 xxxx st segments are slightly depressed in i avl non - specific but consistent with m ,1,['t_flattening']
 premature ventricular contractions bigeminy sinus tachycardia non - specific st and t wave change ,2,"['st_abnormality', 't_abnormality']"
 premature ventricular contraction ( s ) bigeminy sinus rhythm minor non - specific t wave flattening in i ,1,['t_flattening']
 premature atrial contraction ( s ) sinus rhythm compared with tracing of xxxx it is very similar except for the premature complex st and t wave change persist ,2,"['st_abnormality', 't_abnormality']"
 sinus rhythm incomplete right bundle branch block q wave and t wave inversion in ii iii avf st segments are depressed in i avl v4 xxxx t wave are low or flat in v5 xxxx consistent with ischaemic heart disease with inferior myocardial infarct pr ,1,['t_inversion']
 sinus bradycardia r - s transition zone in v leads displaced to the right minor non - specific st and t wave change in inferolateral leads ,2,"['st_abnormality', 't_abnormality']"
 sinus rhythm non specific intraventricular block left ventricular hypertrophy anterolateral st and t wave change consistent with ischaemia or marked left ventricular strain ,2,"['st_abnormality', 't_abnormality']"
 sinus rhythm minor non - specific t wave flattening in i and inversion in avl ,4,['t_flattening']
 sinus tachycardia compared with tracing of earlier today the previously noted st segment depression now negligible there is t wave flattening in ii iii avf suggest repeat in one week or so edit norm xxxx ( f xxxx ) ansteigende st - senkungen in ii iii flache t v5 xxxx v a rao ,1,['t_flattening']
 premature atrial contraction ( s ) sinus rhythm possible chaotic atrial rhythm this is most commonly associated with chronic respiratory disease minor non - specific st and t wave change in inferior leads ,2,"['st_abnormality', 't_abnormality']"
 sinus rhythm non - specific t wave change in v2 xxxx of uncertain significance in view of possible pulmonary embolism suggest repeat tomorrow if clinically indicated ,1,['t_abnormality']
 sinus rhythm minor non - specific t wave flattening ,2,['t_flattening']
 atrial fibrillation with rapid ventricular response non - specific st and t wave change st segment depression is marked suggest repeat when ventricular rate is controlled ,2,"['st_abnormality', 't_abnormality']"
 sinus rhythm moderate amplitude criteria for lvh prolonged qt this may be due to a drug effect or an electrolyte disturbance anterolateral st and t wave change consistent with left ventricular strain or ischaemia ,2,"['st_abnormality', 't_abnormality']"
 sinus rhythm qs complex in v2 and q wave in v3 suggesting old anteroseptal infarct non - specific t wave flattening in limb leads and v5 xxxx ,1,['t_flattening']
 atrial fibrillation with rapid ventricular response low limb lead voltage non - specific t wave flattening in limb leads and v4 xxxx ,1,['t_flattening']
 sinus rhythm minor non - specific t wave flattening in v2 xxxx ,2,['t_flattening']
 sinus rhythm compared with tracing of xxxx there now t wave flattening in v2 xxxx myocardial ischaemia is a possible cause ,1,['t_flattening']
 sinus rhythm non - specific t wave flattening in i ii avl v4 xxxx ,1,['t_flattening']
 sinus rhythm non - specific t wave inversion in iii avf suggest repeat if clinically indicated ,1,['t_inversion']
 sinus rhythm minor non - specific t wave flattening in i v5 xxxx ,1,['t_flattening']
 sinus rhythm non - specific t wave flattening in i avl chest leads non - specific but consistent with myocardial ischaemia ,1,['t_flattening']
 sinus rhythm minor non - specific t wave flattening in i avl v5 xxxx myocardial ischaemia cannot be excluded ,1,['t_flattening']
 atrial fibrillation with rapid ventricular response r - s transition zone in v leads displaced to the right voltages in limb leads are at upper limit minor non - specific t wave flattening in i avl ,1,['t_flattening']
 sinus rhythm prolonged pr interval non - specific t wave flattening in i avl there is a pause of xxxx cycle lengths without an apparent p wave it may be due to sinus node dysfunction holter monitor may be helpful ,1,['t_flattening']
 premature ventricular contraction ( s ) sinus rhythm voltages are high in chest leads suggesting lvh minor non - specific t wave flattening in limb leads st segments are depressed in v4 xxxx this may be due to lv strain or ischaemia ,1,['t_flattening']
 sinus rhythm left axis deviation right bundle branch block non - specific st and t wave change ,2,"['st_abnormality', 't_abnormality']"
 sinus bradycardia the bradycardia may be due to beta - blocker therapy minor non - specific t wave flattening in v4 xxxx voltages in limb leads are at upper limit ,1,['t_flattening']
 atrial fibrillation with slow regular ventricular response qrs shows incomplete right bundle branch block and may reflect a junctional escape rhythm diffuse st and t abnormality consider ischaemia digoxin toxicity and the possibility that complete av bl ,2,"['st_abnormality', 't_abnormality']"
 atrial fibrillation with slow ventricular response early r - s transition in chest leads probably due to incomplete right bundle branch block widespread non - specific st and t abnormality anterior ischaemia is a possible cause digoxin effects may be contribu ,2,"['st_abnormality', 't_abnormality']"
 sinus rhythm non - specific intero - lateral st and t abnormality ,2,"['st_abnormality', 't_abnormality']"
 sinus rhythm frequent ventricular premature contractions runs of up to three v p c s left ventricular hypertrophy st change consistant with early lv strain prolonged qt ,1,['st_abnormality']
 sinus rhythm prolonged pr interval right bundle branch block probable old inferior infarct antero - lateral st and t wave change suggest possible ischaemia ,2,"['st_abnormality', 't_abnormality']"
 sinus rhythm t wave inversion in lead iii could be ischaemic tracing otherwise normal ,1,['t_inversion']
 sinus rhythm no change in t wave inversion in iii since xxxx otherwise normal tracing ,1,['t_inversion']
 sinus rhythm left anterior fascicular block widespread t wave inversion query resolving pericarditis ischaemia or myocarditis likely ,1,['t_inversion']
 atrial fibrillation rate xxxx per minute diffuse st and t abnormality consistent with strain ischaemia is a possible cause ,2,"['st_abnormality', 't_abnormality']"
 sinus rhythm nonspecific lateral t wave flattening ,1,['t_flattening']
 sinus rhythm minor non - specific st and t wave change in v5 xxxx ,2,"['st_abnormality', 't_abnormality']"
 sinus rhythm non - specific t wave flattening in limb leads and v4 xxxx this may be due to lv strain or ischaemia ,1,['t_flattening']
 sinus rhythm non - specific t wave flattening in v5 xxxx voltages are high in limb leads suggesting lvh ,1,['t_flattening']
 premature ventricular contraction ( s ) sinus rhythm right axis deviation low limb lead voltage possible left posterior fascicular block right bundle branch block non - specific t wave inversion in ii iii avf possible old inferior myocardial infarctio ,1,['t_inversion']
 premature atrial contraction ( s ) sinus tachycardia borderline left axis deviation r - s transition zone in v leads displaced to the left non - specific t wave flattening in i avl v5 xxxx leads v2 xxxx show artifact ,1,['t_flattening']
 premature atrial contraction ( s ) sinus rhythm minor non - specific st and t wave change ,4,"['st_abnormality', 't_abnormality']"
 sinus rhythm left axis deviation non - specific t wave flattening in i avl v5 xxxx ,1,['t_flattening']
 atrial fibrillation low limb lead voltage non - specific st and t wave change ,2,"['st_abnormality', 't_abnormality']"
 sinus rhythm prolonged pr interval possible left atrial enlargement right bundle branch block minor non - specific st and t wave change ,2,"['st_abnormality', 't_abnormality']"
 premature ventricular contraction ( s ) sinus rhythm prolonged pr interval possible left atrial enlargement left axis deviation non - specific intraventricular block old anteroseptal infarct non - specific st and t wave change ,2,"['st_abnormality', 't_abnormality']"
 atrial fibrillation non - specific t wave flattening in v3 xxxx ,1,['t_flattening']
 sinus rhythm non - specific t wave inversion in v2 and flattening in v3 xxxx myocardial ischaemia is a possible cause ,1,['t_inversion']
 sinus rhythm borderline left axis deviation non - specific t wave inversion in iii avf this may be normal ,1,['t_inversion']
 sinus bradycardia compared with tracing of xxxx t wave now inverted in ii iii avf and inversion is more marked in v2 - xxxx the changing pattern is consistent with a recent ischaemia episode with or without actual infarct ,1,['t_inversion']
 atrial fibrillation widespread non - specific st and t wave change findings are likely to be due to ischaemic heart disease and digitalis effect ,2,"['st_abnormality', 't_abnormality']"
 sinus rhythm possible left atrial enlargement voltages are high in limb leads suggesting lvh minor non - specific t wave flattening in v5 xxxx q wave in v2 an old anteroseptal infarct cannot be excluded ,1,['t_flattening']
 sinus rhythm borderline left axis deviation voltages are high in limb leads suggesting lvh non - specific st depression in v5 xxxx ,1,['st_depression']
 sinus tachycardia non - specific t wave flattening in v4 xxxx edit ndt ( ndt ) ,1,['t_flattening']
 sinus rhythm minor non - specific t wave flattening in v3 - xxxx ,1,['t_flattening']
 sinus rhythm non - specific t wave flattening in v3 - xxxx ,2,['t_flattening']
 premature ventricular contraction ( s ) sinus rhythm minor non - specific st depression in ii v5 xxxx edit norm xxxx sokolow xxxx ( norm xxxx ) ,1,['st_depression']
 atrial fibrillation non - specific st and t wave change there is gross artifact in chest leads ,2,"['st_abnormality', 't_abnormality']"
 sinus rhythm compared with tracing of earlier today axis is more to the right t wave change in chest leads are not significantly changed ,1,['t_abnormality']
 sinus bradycardia non - specific st and t wave change in v5 xxxx the cause of the bradycardia is not evident ,2,"['st_abnormality', 't_abnormality']"
 sinus tachycardia left axis deviation left anterior fascicular block non - specific st and t wave change there is much skeletal muscle artifact ,2,"['st_abnormality', 't_abnormality']"
 sinus tachycardia left axis deviation left ventricular hypertrophy non - specific st and t wave change ,2,"['st_abnormality', 't_abnormality']"
 premature ventricular contraction ( s ) bigeminy sinus rhythm non - specific t wave flattening in v2 xxxx ,1,['t_flattening']
 sinus rhythm left axis deviation left anterior fascicular block non - specific t wave flattening in ii v5 xxxx ,1,['t_flattening']
 premature ventricular contraction ( s ) sinus rhythm left atrial enlargement left axis deviation right bundle branch block non - specific st and t wave change in anterior chest leads ,2,"['st_abnormality', 't_abnormality']"
 sinus rhythm non - specific t wave flattening in i and inversion in avl ,6,['t_flattening']
 sinus rhythm minor non - specific st and t wave change in inferior leads ,2,"['st_abnormality', 't_abnormality']"
 sinus rhythm probable old anteroseptal infarct st and t abnormality consider anterolateral ischemia or left ventricular strain inferolateral ischemia or left ventricular strain ,2,"['st_abnormality', 't_abnormality']"
 sinus rhythm leftward axis r - s transition zone in v leads displaced to the right prolonged qt this may be due to a drug effect or an electrolyte disturbance anterolateral st and t wave change which are non diagnostic ,2,"['st_abnormality', 't_abnormality']"
 sinus rhythm incomplete right bundle branch block non - specific t wave flattening in v3 and inversion in v2 myocardial ischaemia is a possible cause suggest repeat if clinically indicated ,1,['t_flattening']
 sinus rhythm non - specific t wave flattening in v4 xxxx ,8,['t_flattening']
 sinus rhythm compared with tracing of xxxx t wave now inverted throughout chest leads and flat in limb leads the significance is uncertain ,1,['t_inversion']
 sinus rhythm minor inferior t wave change which are non - diagnostic ,1,['t_abnormality']
 sinus rhythm prolonged pr interval low limb lead voltage there is slight terminal t wave inversion in v2 xxxx of uncertain significance suggest repeat if clinically indicated ,1,['t_inversion']
 atrial fibrillation with rapid ventricular response non - specific t wave flattening in limb leads and v6 findings are likely to be due to ischaemic heart disease ,1,['t_flattening']
 premature ventricular contraction ( s ) sinus arrhythmia prolonged pr interval abnormal left axis deviation left anterior fascicular block non specific t abnormality ,1,['t_abnormality']
