statement,occurences,proposed label
 sinusrytm extrem vänster el - axel ospecifikt skänkelblock överväg wpw syndrom typ b avvikande qrs ( t ) förlopp anteroseptal myokardskada bör övervägas ,1,['wolff_parkinson_white']
 premature ventricular contraction ( s ) atrial fibrillation left axis deviation left bundle branch block this is most commonly due to ischaemic heart disease ,2,['atrial_fibrillation']
 atrial fibrillation qs complex in v2 and tiny r wave in v3 xxxx st segments are depressed in i ii avl v5 xxxx t wave are inverted in i avl v5 xxxx consistent with ischaemic heart disease with old anteroseptal myocardial infarct it is difficult to ,1,['atrial_fibrillation']
 atrial fibrillation st segments are depressed in ii iii avf v4 xxxx non - specific but consistent with myocardial ischaemia and digitalis effect ,1,['atrial_fibrillation']
 atrial fibrillation with rapid ventricular response low limb lead voltage minor non - specific st and t wave change prolonged qt this may be due to a drug effect or an electrolyte disturbance coarse fibrillation wave accord with mitral valve disease ,1,['atrial_fibrillation']
 atrial fibrillation otherwise no definite pathology ,18,['atrial_fibrillation']
 premature ventricular contraction ( s ) a rapid regular supraventricular tachycardia is present rhythm is probably atrial flutter with xxxx av block left ventricular hypertrophy non - specific st and t wave change ,2,"['atrial_tachycardia', 'atrial_flutter']"
 atrial fibrillation st segments are depressed in i v5 xxxx t wave are low or flat in i v5 xxxx and inverted in avl this may be due to lv strain or ischaemia ,1,['atrial_fibrillation']
 sinus rhythm prolonged pr interval left atrial enlargement compared with tracing of xxxx rhythm was previously atrial flutter otherwise it is similar with non - specific st and t wave change ,1,['atrial_flutter']
 atrial fibrillation with rapid ventricular response non - specific st and t wave change ,8,['atrial_fibrillation']
 atrial fibrillation with rapid ventricular response right superior axis deviation left anterior fascicular block right bundle branch block bifascicular block ,1,['atrial_fibrillation']
 sinusbradykardi extrem vänster el - axel vänster anteriort fascicular block högersidigt skänkelblock bifascikulärt block wpw syndrom typ a ,1,['wolff_parkinson_white']
 atrial fibrillation with rapid ventricular response left axis deviation left anterior fascicular block non - specific st and t wave change in i avl ,1,['atrial_fibrillation']
 atrial fibrillation with rapid ventricular response non - specific intraventricular block q wave in ii iii avf consistent with old inferior myocardial infarct st segments are depressed and t wave inverted in i ii v4 xxxx this may be due to ,1,['atrial_fibrillation']
 atrial fibrillation with rapid ventricular response compared with tracings of xxxx and xxxx it remains basically similar except for the recurrence of atrial fibrillation ,1,['atrial_fibrillation']
 atrial fibrillation with rapid ventricular response incomplete right bundle branch block st segments are depressed in i v2 - xxxx non - specific but consistent with myocardial ischaemia ,1,['atrial_fibrillation']
 atrial fibrillation with slow ventricular response non - specific intraventricular block tiny r wave in v2 xxxx suggesting old anteroseptal myocardial infarct non - specific st and t wave change ,1,['atrial_fibrillation']
 atrial fibrillation with rapid ventricular response probable old anterior and inferior infarcts there is much artifact present ,1,['atrial_fibrillation']
 atrial fibrillation left axis deviation left bundle branch block this is most commonly due to ischaemic heart disease ,6,['atrial_fibrillation']
 premature ventricular contraction ( s ) atrial fibrillation with rapid ventricular response qs complex in v2 and tiny r wave in v3 consistent with anteroseptal myocardial infarct of uncertain age st segments are depressed in ii iii avf v5 xxxx t w ,1,['atrial_fibrillation']
 atrial fibrillation st segments are depressed in i avl v4 xxxx t wave are low or flat throughout findings are likely to be due to ischaemic heart disease and digitalis effect possible old inferior myocardial infarct suggest exclude hypokalaemia ,1,['atrial_fibrillation']
 sinus bradycardia non - specific intraventricular delay voltages in chest leads are at upper limit the cause of the bradycardia is not evident ,1,['atrial_tachycardia']
 sinus rhythm t wave are flat in ii avf and inverted in iii inferior myocardial ischaemia cannot be excluded voltages in chest leads are at upper limit ,1,['atrial_tachycardia']
 premature ventricular contraction ( s ) atrial fibrillation qs complex in v2 and tiny r wave in v3 st segments are depressed in i ii iii avf v4 xxxx t wave are inverted in v4 xxxx and flat in limb leads consistent with ischaemic heart disease with ,1,['atrial_fibrillation']
 atrial fibrillation tiny r wave in v2 xxxx suggesting old anteroseptal infarct possible old inferior myocardial infarct st segments are depressed in i ii avl v5 xxxx t wave are flat in these leads findings are likely to be due to ischaemic heart d ,1,['atrial_fibrillation']
 atrial fibrillation left axis deviation non - specific intraventricular block ,5,['atrial_fibrillation']
