statement,occurences,proposed label
 sinus rhythm prolonged pr interval ventricular premature complex incomplete right bundle branch block small lateral q wave noted ,1,['premature_ventricular_complex']
 sinus rhythm ventricular premature contractions with ventricular bigeminy left ventricular hypertrophy on voltage criteria mild non - diagnostic st and t wave change ,1,['ventricular_bigeminy']
 sinus rhythm ventricular premature complex otherwise normal ,1,['premature_ventricular_complex']
 sinus tachycardia ventricular premature complex first degree av block pr interval xxxx seconds st sagging most likely due to digitalis ,1,['premature_ventricular_complex']
 sinus rhythm ventricular premature complex left ventricular hypertrophy diffuse t abnormality consistent with lv strain also consider ischaemia ,1,['premature_ventricular_complex']
 sinus rhythm ventricular premature complex left anterior fascicular block minor qt prolongation ,1,['premature_ventricular_complex']
 sinus rhythm ventricular premature complex left atrial enlargement left anterior fascicular block minor st change consistent with digitalis effect ,1,['premature_ventricular_complex']
 sinus rhythm rate xxxx per minute ventricular premature complex slight qt prolongation no ecg evidence of ventricular hypertrophy or ischaemia ,1,['premature_ventricular_complex']
 sinus rhythm ventricular premature complex left anterior fascicular block no ecg evidence of ischaemia ,1,['premature_ventricular_complex']
 sinus rhythm ventricular premature complex apart from ventricular premature complex normal ecg ,2,['premature_ventricular_complex']
 ventrikulär ( a ) extrasystoli ( er ) sinusrytmconsensus label derived from { nst_ xxxx pvc xxxx sr xxxx 0} { norm xxxx sr xxxx 0} ,1,['premature_ventricular_complex']
 pacemaker ekgconsensus label derived from { pace xxxx 0} { asmi xxxx almi xxxx lafb xxxx pvc xxxx pace xxxx 0} ,1,['premature_ventricular_complex']
 a rapid regular broad complex tachycardia is present this is probably a supraventricular tachycardia with left bundle branch block but ventricular tachycardia cannot be entirely excluded left axis deviation ,1,['ventricular_tachycardia']
 sinusrytm ventrikulära extraslag vänster el - axel inget säkert patologisktconsensus label derived from { imi xxxx sr xxxx 0} { imi xxxx pvc xxxx 1avb xxxx sr xxxx 0} ,1,['premature_ventricular_complex']
 rhythm strip shows sinus rhythm ( rate = xxxx - min ) ventricular premature complex including a couplet and a run of paroxysmal supraventricular tachycardia ( rate = xxxx - min ) otherwise no definite pathology suggest cardiological review ,1,['premature_ventricular_complex']
 atrial fibrillation with junctional rhythm rate xxxx multifocal ventricular premature complex with salvols of xxxx ventricular premature complex left axis deviation old anterior infarct query old inferior infarct pattern in rhythm is consistent with digitalis to ,1,['premature_ventricular_complex']
 atrial fibrillation with controlled ventricular response ventricular premature complex left axis deviation left anterior fascicular block poor antero - septal r wave progression indicating possible old infarct ,1,['premature_ventricular_complex']
 sinus rhythm ventricular premature complex voltages of left ventricular hypertrophy st and t change in avl consistent with early left ventricular strain ,1,['premature_ventricular_complex']
 sinus rhythm with frequent atrial premature complex ventricular premature complex pr interval upper limit of normal left bundle branch block low limb lead voltage in presence of lbbb hypertrophy or ischaemia not excluded xxxx unconfi ,1,['premature_ventricular_complex']
 sinus rhythm unifocal ventricular premature complex otherwise normal ecg ,1,['premature_ventricular_complex']
